count_point_id,direction_of_travel,year,count_date,hour,region_id,region_name,local_authority_id,local_authority_name,road_name,road_type,start_junction_road_name,end_junction_road_name,easting,northing,latitude,longitude,link_length_km,link_length_miles,pedal_cycles,two_wheeled_motor_vehicles,cars_and_taxis,buses_and_coaches,lgvs,hgvs_2_rigid_axle,hgvs_3_rigid_axle,hgvs_4_or_more_rigid_axle,hgvs_3_or_4_articulated_axle,hgvs_5_articulated_axle,hgvs_6_articulated_axle,all_hgvs,all_motor_vehicles
17917,N,2005,2005-10-18,15,6,London,109,Westminster,A3214,Major,A3217,"Buckingham Gate",528970,179400,51.49883625,-0.14340487,0.30,0.19,25,46,474,22,109,12,0,0,6,0,0,18,669
17917,N,2005,2005-10-18,16,6,London,109,Westminster,A3214,Major,A3217,"Buckingham Gate",528970,179400,51.49883625,-0.14340487,0.30,0.19,32,38,544,10,86,1,1,0,0,0,0,2,680
17917,N,2005,2005-10-18,17,6,London,109,Westminster,A3214,Major,A3217,"Buckingham Gate",528970,179400,51.49883625,-0.14340487,0.30,0.19,65,53,824,13,99,2,0,0,0,0,0,2,991
17917,N,2005,2005-10-18,18,6,London,109,Westminster,A3214,Major,A3217,"Buckingham Gate",528970,179400,51.49883625,-0.14340487,0.30,0.19,53,40,1120,7,57,3,0,0,0,0,0,3,1227
17917,S,2005,2005-10-18,7,6,London,109,Westminster,A3214,Major,A3217,"Buckingham Gate",528970,179400,51.49883625,-0.14340487,0.30,0.19,26,7,248,4,59,9,0,0,0,0,1,10,328
17917,S,2005,2005-10-18,8,6,London,109,Westminster,A3214,Major,A3217,"Buckingham Gate",528970,179400,51.49883625,-0.14340487,0.30,0.19,76,40,370,14,64,9,3,0,2,0,0,14,502
17917,S,2005,2005-10-18,9,6,London,109,Westminster,A3214,Major,A3217,"Buckingham Gate",528970,179400,51.49883625,-0.14340487,0.30,0.19,48,36,454,6,93,14,4,0,1,0,0,19,608
17917,S,2005,2005-10-18,10,6,London,109,Westminster,A3214,Major,A3217,"Buckingham Gate",528970,179400,51.49883625,-0.14340487,0.30,0.19,15,30,402,19,81,19,2,0,3,1,0,25,557
17917,S,2005,2005-10-18,11,6,London,109,Westminster,A3214,Major,A3217,"Buckingham Gate",528970,179400,51.49883625,-0.14340487,0.30,0.19,15,24,504,68,73,6,1,0,0,1,0,8,677
17917,S,2005,2005-10-18,12,6,London,109,Westminster,A3214,Major,A3217,"Buckingham Gate",528970,179400,51.49883625,-0.14340487,0.30,0.19,14,39,491,39,66,7,1,0,0,0,0,8,643
